,BTC,ETH,SP500,NASDAQ,VIX,GOLD,DXY,US10Y
Ticker,BTC-USD,ETH-USD,^GSPC,^NDX,^VIX,GC=F,DX-Y.NYB,^TNX
Date,,,,,,,,
2015-02-27,0.07102164294766813,,-0.0029606830486323707,-0.004852361170651462,-0.041840943039847,0.0024770882622964334,-0.0004198689610873802,-0.006968638716529167
2015-02-28,0.001712282492500946,,,,,,,
2015-03-01,0.023089070174587865,,,,,,,
2015-03-02,0.05774631039705618,,,,,,,
2015-03-03,0.021645212985012714,,-0.004548872603817568,-0.0054284369627708,0.06098541541786991,-0.0030683369818883667,-0.0008384179131867331,0.01806985332978043
2015-03-04,-0.03104098668249274,,-0.004398161230154572,-0.0030143130198017156,0.02634541094184929,-0.0028279353859085,0.006166771275295813,0.00047110839397076663
2015-03-05,0.011236844892019125,,0.001195365251036089,0.0015060987652274133,-0.013441984052200456,-0.003922351093293688,0.004263027365590325,-0.0051947782730585096
2015-03-06,-0.012589019563885341,,-0.014275356362467066,-0.011937402402242881,0.07938501942324021,-0.02695082510784794,0.012783735879685785,0.05884050969901206
2015-03-07,0.012889423033744005,,,,,,,
2015-03-08,-0.006926764001895432,,,,,,,
2015-03-09,0.05410555539115711,,,,,,,
2015-03-10,0.007406767027843437,,-0.017106820937141425,-0.019197451008783655,0.10276751943766037,-0.0054159159489475485,0.010499117018220226,-0.031939770285912834
2015-03-11,0.015707453323950217,,-0.001919520676484767,-0.005489690134683443,0.01072717663256296,-0.008135776840567531,0.011894105250021353,-0.008028359705830353
2015-03-12,-0.006855895378802532,,0.012522702206037068,0.007139926287342995,-0.089871573222055,0.0012159324570827387,-0.00653434354074788,-0.006183140593166778
2015-03-13,-0.0311121803793417,,-0.006093237090196838,-0.004931175843305342,0.036923349156871114,0.0004338959677507792,0.011830900832436621,0.007604614896490658
2015-03-14,-0.01217173654759659,,,,,,,
2015-03-15,0.01586579121122548,,,,,,,
2015-03-16,0.014558606023415802,,,,,,,
2015-03-17,-0.017664059044773035,,-0.0033256977077820026,0.0011798786910071424,0.0031979682852878465,-0.004344810265399723,-0.00010042809879398446,-0.019249853566881445
2015-03-18,-0.10791478367740183,,0.012085101501628708,0.01065466439108842,-0.11419748843554198,0.0026959841412746766,-0.010497656606366697,-0.05339263111269401
2015-03-19,0.017899766313779417,,-0.004884489126950175,0.0009763065744457549,0.007132657053160405,0.015255586684473977,0.005565361373254303,0.013238494291876743
2015-03-20,0.0031414604385734918,,0.008972382193259682,0.007139913314808167,-0.07755817749755381,0.013339824035723362,-0.012080699169785011,-0.02406056748416419
2015-03-21,-0.006608245488491631,,,,,,,
